Ticker,Day Strategy Return (%)
ADANIENT.NS,-92.99570941071514
ASIANPAINT.NS,-87.46253725728818
AXISBANK.NS,-86.67384396799713
BAJAJ-AUTO.NS,-76.1555938850171
BAJFINANCE.NS,-88.03291204257566
BAJAJFINSV.NS,-91.30922190313981
BPCL.NS,-97.55621593239788
BHARTIARTL.NS,-81.52831771636644
BRITANNIA.NS,-86.80605399130117
CIPLA.NS,-98.07143319981215
COALINDIA.NS,-97.83629832580377
DIVISLAB.NS,-81.88567590829385
DRREDDY.NS,-93.62828458518788
EICHERMOT.NS,-92.6043559648799
GRASIM.NS,-53.38416030005793
HCLTECH.NS,-67.21127164162594
HDFCBANK.NS,-22.239620387481807
HDFCLIFE.NS,-75.1405031665232
HEROMOTOCO.NS,-96.69115240668809
HINDALCO.NS,-96.4773623485022
HINDUNILVR.NS,-61.80446005823561
ICICIBANK.NS,-59.805692827313116
INDUSINDBK.NS,-96.29970211473727
INFY.NS,-56.73749784571935
ITC.NS,-92.50380664696677
JSWSTEEL.NS,-40.88319847630135
KOTAKBANK.NS,-46.300353134471514
LT.NS,-93.02300344372338
M&M.NS,-90.46552913562249
MARUTI.NS,-86.12676199005213
NESTLEIND.NS,-87.59738044796431
NTPC.NS,-89.55379445189787
ONGC.NS,-99.47105310849719
POWERGRID.NS,-68.99890543566639
RELIANCE.NS,-77.7929360057592
SBILIFE.NS,-45.839051794635466
SBIN.NS,-98.11315044312613
SUNPHARMA.NS,-96.87377974081676
TATACONSUM.NS,-83.90587626906337
TATAMOTORS.NS,-99.60381464335569
TATASTEEL.NS,-97.12972261271673
TECHM.NS,-80.75938318842041
TITAN.NS,-70.99846833646907
ULTRACEMCO.NS,-91.01143196585227
UPL.NS,-96.41329382290796
WIPRO.NS,-91.13899857704418
