Ticker,Sharpe Ratio,Max Drawdown (%),Avg Winning Return (%),Avg Losing Return (%),Win Rate (%)
ADANIENT.NS,0.92,-43.36,0.85,-0.84,66.78
ASIANPAINT.NS,2.33,-18.97,0.46,-0.48,64.94
AXISBANK.NS,1.42,-32.11,0.61,-0.66,61.29
BAJAJ-AUTO.NS,2.11,-19.64,0.42,-0.44,64.39
BAJFINANCE.NS,3.02,-32.93,0.61,-0.64,68.71
BAJAJFINSV.NS,3.26,-33.12,0.56,-0.57,67.92
BPCL.NS,3.17,-22.18,0.62,-0.59,66.12
BHARTIARTL.NS,2.14,-23.47,0.58,-0.56,61.41
BRITANNIA.NS,3.15,-20.1,0.42,-0.4,67.57
CIPLA.NS,3.47,-20.86,0.48,-0.44,68.47
COALINDIA.NS,3.28,-23.21,0.51,-0.5,68.2
DIVISLAB.NS,2.25,-18.23,0.48,-0.5,66.16
DRREDDY.NS,2.22,-19.18,0.48,-0.49,63.76
EICHERMOT.NS,2.52,-27.3,0.53,-0.57,66.39
GRASIM.NS,1.57,-38.77,0.44,-0.49,63.02
HCLTECH.NS,1.52,-31.11,0.53,-0.59,62.86
HDFCBANK.NS,0.85,-27.66,0.51,-0.52,57.71
HDFCLIFE.NS,1.79,-33.31,0.51,-0.6,65.11
HEROMOTOCO.NS,2.65,-30.08,0.5,-0.52,66.67
HINDALCO.NS,2.33,-30.8,0.75,-0.81,64.0
HINDUNILVR.NS,1.67,-17.48,0.39,-0.39,61.88
ICICIBANK.NS,1.13,-37.43,0.68,-0.69,57.68
INDUSINDBK.NS,1.56,-44.01,0.62,-0.68,62.82
INFY.NS,1.06,-24.81,0.58,-0.63,59.56
ITC.NS,2.24,-20.24,0.45,-0.46,66.04
JSWSTEEL.NS,1.6,-35.79,0.59,-0.66,61.84
KOTAKBANK.NS,0.97,-30.13,0.48,-0.51,59.56
LT.NS,2.69,-26.77,0.48,-0.53,68.24
M&M.NS,2.69,-29.21,0.52,-0.53,65.69
MARUTI.NS,2.29,-30.28,0.46,-0.49,65.57
NESTLEIND.NS,2.69,-17.73,0.42,-0.39,65.76
NTPC.NS,2.46,-22.63,0.51,-0.5,64.7
ONGC.NS,3.21,-30.59,0.67,-0.67,67.57
POWERGRID.NS,2.02,-26.36,0.48,-0.46,61.21
RELIANCE.NS,2.23,-26.89,0.51,-0.52,64.08
SBILIFE.NS,0.98,-39.82,0.5,-0.6,61.96
SBIN.NS,2.84,-32.71,0.61,-0.61,66.55
SUNPHARMA.NS,2.7,-16.65,0.52,-0.57,68.24
TATACONSUM.NS,2.48,-30.88,0.51,-0.55,67.1
TATAMOTORS.NS,2.56,-40.74,0.78,-0.88,67.33
TATASTEEL.NS,1.41,-33.12,0.74,-0.74,66.86
TECHM.NS,1.53,-32.0,0.52,-0.6,63.21
TITAN.NS,1.99,-25.31,0.52,-0.6,65.72
ULTRACEMCO.NS,3.0,-27.15,0.45,-0.44,66.39
UPL.NS,2.93,-30.19,0.53,-0.55,66.9
WIPRO.NS,1.94,-22.28,0.53,-0.57,64.31
